season,event_type,start_datetime,start_datetime_est,event_id,opp_team_id,team_id,is_home,player_id,player_name,played,starter,position,primary_position,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,tech_fouls,flagrant_fouls,pls_min,points,double_double,triple_double,effective_fg_pct,efficiency,efficiency_game_score,points_in_paint,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,fouls_drawn,offensive_fouls,points_off_turnovers,second_chance_pts,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,coach_ejections,minus,plus,defensive_rebounds_pct,offensive_rebounds_pct,rebounds_pct,steals_pct,turnovers_pct,coach_tech_fouls,second_chance_att,second_chance_made,second_chance_pct,defensive_rating,offensive_rating,fouled_out,ejected,not_playing_reason,not_playing_description,height_inches,weight_lbs,bmi,age,experience_year,draft_number
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56902,"Marina Mabrey",1,1,G,PG,29,5,10,50,3,4,75,2,6,33.3,1,2,4,50,1,2,3,3,2,1,0,1.5,0,0,0,8,15,0,0,65,16,11.6,2,3,1,33.3,11.76,63.8,4,0,7,0,4,1,1,100,0,57,65,8.3594566353187,4.9261083743842,6.7834934991521,1.6796277944807,14.53488372093,0,1,0,0,101.10070981463,115.56991659028,NULL,NULL,NULL,NULL,71,170,23.70759769886927,26.8110,4,19
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56727,"Sika Kone",0,0,F,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"DNP – Coach's Decision",NULL,75,180,22.496000000000002,20.9808,1,29
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56908,"Morgan Bertsch",1,0,F,NA,21.15,2,4,50,0,0,0,2,4,50,0,0,0,0,1,0,1,0,3,2,1,0,5,0,0,-11,4,0,0,50,-2,0.4,2,3,1,33.3,4,50,0,0,0,0,0,0,0,0,0,47,36,0,6.7546877533008,3.1005124113512,4.606216685154,42.857142857143,0,0,0,0,94.519704777635,58.904020708052,NULL,NULL,NULL,NULL,76,173,21.05592105263158,26.2137,0,29
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56833,"Alanna Smith",1,1,F,PF,32.666666666667,8,14,57.1,2,6,33.3,6,8,75,0,0,0,0,1,5,6,3,2,3,0,1.5,2,0,0,11,18,0,0,64.3,22,15.9,12,8,6,75,14,64.3,2,0,2,6,0,0,0,0,0,62,73,18.552875695733,4.3731778425656,12.044161927066,4.4732944322395,12.5,0,3,3,100,91.11568695211,116.94267336922,NULL,NULL,NULL,NULL,76,180,21.907894736842106,26.8219,4,8
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56749,"Kahleah Copper",1,1,F,SF,30.566666666667,8,12,66.7,1,3,33.3,7,9,77.8,1,0,2,0,1,3,4,0,3,0,1,0,5,0,1,1,17,0,0,70.8,9,8.3,8,5,4,80,12.88,66,2,0,5,2,0,0,0,0,0,67,68,11.896500446119,4.6736251752609,8.5810822890037,0,18.891687657431,0,1,1,100,101.73544053403,95.873778865412,NULL,NULL,NULL,NULL,73,165,21.76674798273597,28.8603,7,7
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56898,"Isabelle Harrison",0,0,F,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"NWT - Injury/Illness",Knee,75,183,22.87093333333333,29.7781,7,12
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56747,"Dana Evans",1,0,G,NA,26.816666666667,3,8,37.5,1,1,100,2,7,28.6,1,1,1,100,0,2,2,4,2,0,0,2,1,0,0,-13,8,0,0,43.8,7,4.6,2,5,1,20,8.44,47.4,2,0,0,2,0,0,0,0,0,58,45,9.0400587603819,0,4.890523591682,0,19.157088122605,0,2,1,50,104.57022705537,96.474210255306,NULL,NULL,NULL,NULL,66,145,23.401056014692376,24.9315,2,13
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,80263,"Taylor Soule",0,0,F,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"DNP – Coach's Decision",NULL,71,186,25.938901011704026,23.5014,0,28
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56845,"Kristine Anigwe",0,0,F-C,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"DNP – Coach's Decision",NULL,76,200,24.342105263157897,26.2685,4,9
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,56778,"Elizabeth Williams",1,1,C,C,26.183333333333,6,8,75,0,0,0,6,8,75,0,0,0,0,2,2,4,4,2,1,3,2,4,0,0,16,12,0,0,75,16,13.1,12,8,6,75,8,75,0,1,4,0,2,1,1,100,0,47,63,9.258487718616,10.91178909694,10.017380154568,1.8602660418554,20,0,1,0,0,94.659076461323,130.1415904582,NULL,NULL,NULL,NULL,75,200,24.995555555555555,30.0411,8,4
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,1,57149,"Courtney Williams",1,1,G,SG,25.75,5,8,62.5,0,1,0,5,7,71.4,0,2,2,100,2,9,11,13,1,1,0,13,1,0,0,23,12,1,1,62.5,35,21.2,6,3,3,100,8.88,67.6,3,0,2,0,4,2,2,100,0,41,64,42.365401588703,11.095700416089,28.012096132421,1.8916196520366,10.121457489878,0,0,0,0,88.849124754284,160.67741054823,NULL,NULL,NULL,NULL,68,139,21.132569204152247,29.1589,7,8
