season,event_type,start_datetime,start_datetime_est,event_id,opp_team_id,team_id,team_abbr,team_location,team_name,is_home,at_home_venue,minutes,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,two_points_made,two_points_att,two_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,steals,blocks,assists_turnover_ratio,personal_fouls,ejections,foulouts,points,fast_break_pts,second_chance_pts,team_turnovers,points_off_turnovers,team_rebounds,flagrant_fouls,player_tech_fouls,team_tech_fouls,coach_tech_fouls,points_in_paint,pls_min,effective_fg_pct,bench_points,points_in_paint_att,points_in_paint_made,points_in_paint_pct,true_shooting_att,true_shooting_pct,biggest_lead,fouls_drawn,offensive_fouls,efficiency,efficiency_game_score,defensive_rating,offensive_rating,coach_ejections,points_against,possessions,opponent_possessions,team_defensive_rebounds,team_offensive_rebounds,time_leading,defensive_points_per_possession,offensive_points_per_possession,team_fouls,total_rebounds,total_fouls,second_chance_att,second_chance_made,second_chance_pct,fast_break_att,fast_break_made,fast_break_pct,most_unanswered_points,most_unanswered_own_score,most_unanswered_opp_score,defensive3seconds,jumpshots,dunks,layups,tipshots,hooks,bonus,rank
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1793,1787,CHI,Chicago,Sky,1,1,200,37,65,56.9,7,15,46.7,30,50,60,3,5,9,55.6,8,23,31,28,15,8,5,1.87,18,0,0,86,10,10,1,20,7,1,0,0,0,44,8,62.3,12,36,22,61.1,68.96,62.4,17,13,1,103,75.1,94.982951777886,111.74636174636,0,78,76.96,82.12,3,4,1804,1.01,1.12,0,38,18,8,5,62.5,4,4,100,13,54,38,NULL,36,NULL,28,NULL,NULL,1,NULL
2023,reg,"2023-07-01 00:00:00","2023-06-30 19:00:00",164434,1787,1793,LAS,"Los Angeles",Sparks,0,0,200,28,67,41.8,4,13,30.8,24,54,44.4,5,18,23,78.3,10,20,30,16,13,9,3,1.23,13,0,0,78,4,14,2,17,8,0,0,1,0,44,-8,44.8,34,45,22,48.9,77.12,50.6,3,18,1,79,57.4,111.74636174636,94.982951777886,0,86,82.12,76.96,0,8,276,1.05,0.95,1,38,14,10,5,50,8,2,25,11,76,82,NULL,32,NULL,34,NULL,NULL,0,NULL
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1790,1794,LVA,"Las Vegas",Aces,1,1,200,36,72,50,7,23,30.4,29,49,59.2,3,23,26,88.5,11,31,42,25,12,7,5,2.08,22,0,0,102,15,10,1,14,6,0,0,0,0,52,18,54.9,17,40,26,65,83.44,61.1,29,19,2,124,89,97.267253358036,119.38202247191,0,84,85.44,86.36,2,4,2305,0.98,1.19,0,48,22,9,3,33.3,11,6,54.5,19,76,48,NULL,36,NULL,33,NULL,NULL,0,NULL
2023,reg,"2023-07-01 19:00:00","2023-07-01 14:00:00",164435,1794,1790,CON,Connecticut,Sun,0,0,200,33,70,47.1,6,20,30,27,50,54,5,12,19,63.2,4,20,24,22,10,7,3,2.2,19,1,0,84,14,5,2,20,11,0,2,0,0,44,-18,51.4,32,41,22,53.7,78.36,53.6,2,22,1,82,61.1,119.38202247191,97.267253358036,0,102,86.36,85.44,4,7,17,1.18,0.97,0,35,19,1,1,100,11,7,63.6,7,84,102,NULL,40,NULL,28,NULL,NULL,1,NULL
2023,reg,"2023-07-02 02:00:00","2023-07-01 21:00:00",164436,1796,1792,PHO,Phoenix,Mercury,1,1,200,30,59,50.8,6,19,31.6,24,40,60,1,10,18,55.6,9,26,35,19,22,4,4,0.86,20,0,1,76,8,7,2,12,5,1,1,1,0,44,-10,55.9,20,35,22,62.9,66.92,56.8,10,18,2,75,47.7,102.7724665392,92.7734375,0,86,81.92,83.68,0,5,706,1.05,0.93,1,40,21,3,2,66.7,3,3,100,11,52,49,NULL,40,NULL,12,NULL,NULL,1,NULL
2023,reg,"2023-07-02 02:00:00","2023-07-01 21:00:00",164436,1792,1796,MIN,Minnesota,Lynx,0,0,200,31,68,45.6,6,18,33.3,25,50,50,4,18,22,81.8,7,23,30,16,12,13,1,1.33,18,0,0,86,7,6,1,18,8,0,0,0,0,40,10,50,23,33,20,60.6,77.68,55.4,13,20,3,91,66.7,92.7734375,102.7724665392,0,76,83.68,81.92,0,8,1552,0.91,1.03,0,38,18,7,3,42.9,6,2,33.3,11,29,22,NULL,48,NULL,20,NULL,NULL,1,NULL
2023,reg,"2023-07-02 19:00:00","2023-07-02 14:00:00",164437,1788,1795,DAL,Dallas,Wings,1,1,200,33,74,44.6,6,22,27.3,27,52,51.9,6,17,23,73.9,15,39,54,25,18,4,2,1.39,24,0,0,89,23,16,1,4,11,1,0,0,0,42,17,48.6,17,37,21,56.8,84.12,52.9,18,18,2,97,65.5,83.720930232558,100.99863822061,0,72,88.12,86,0,11,1654,0.82,1.01,0,65,24,16,6,37.5,11,9,81.8,8,14,13,NULL,43,NULL,27,NULL,NULL,1,NULL
2023,reg,"2023-07-02 19:00:00","2023-07-02 14:00:00",164437,1795,1788,WAS,Washington,Mystics,0,0,200,24,70,34.3,4,25,16,20,45,44.4,2,20,25,80,5,19,24,19,9,9,6,2.11,18,0,0,72,13,6,1,18,9,0,0,1,0,26,-17,37.1,16,26,13,50,81,44.4,7,24,0,74,50.1,100.99863822061,83.720930232558,0,89,86,88.12,2,7,416,1.03,0.84,1,33,19,7,3,42.9,10,5,50,7,13,6,NULL,49,NULL,20,NULL,NULL,1,NULL
2023,reg,"2023-07-02 19:00:00","2023-07-02 14:00:00",164438,1793,1789,ATL,Atlanta,Dream,1,1,200,37,68,54.4,9,21,42.9,28,47,59.6,3,29,34,85.3,6,34,40,18,13,11,7,1.38,19,0,0,112,18,4,0,15,3,0,0,1,0,46,28,61,29,38,23,60.5,82.96,67.5,28,22,1,139,99.5,95.238095238095,124.49977767897,0,84,89.96,88.2,1,2,2059,0.93,1.24,1,43,20,6,2,33.3,11,7,63.6,9,108,81,NULL,34,NULL,33,NULL,NULL,1,NULL
2023,reg,"2023-07-02 19:00:00","2023-07-02 14:00:00",164438,1789,1793,LAS,"Los Angeles",Sparks,0,0,200,28,67,41.8,5,18,27.8,23,49,46.9,7,23,30,76.7,6,27,33,17,13,10,3,1.31,22,0,0,84,4,5,1,14,6,1,0,0,0,38,-28,45.5,30,37,19,51.4,80.2,52.4,4,19,1,78,60,124.49977767897,95.238095238095,0,112,88.2,89.96,1,5,145,1.27,0.95,0,39,22,6,2,33.3,5,2,40,5,40,37,NULL,42,NULL,25,NULL,NULL,1,NULL
2023,reg,"2023-07-02 20:00:00","2023-07-02 15:00:00",164439,1787,1791,IND,Indiana,Fever,1,1,200,35,68,51.5,5,17,29.4,30,51,58.8,3,12,18,66.7,9,26,35,21,15,6,1,1.4,18,0,0,87,13,7,0,11,8,0,0,1,0,54,-2,55.1,21,39,27,69.2,75.92,57.3,3,21,4,96,64.3,112.6012145749,106.201171875,0,89,81.92,79.04,2,6,239,1.09,1.06,1,43,19,10,3,30,11,6,54.5,7,24,22,NULL,42,NULL,26,NULL,NULL,0,NULL
2023,reg,"2023-07-02 20:00:00","2023-07-02 15:00:00",164439,1791,1787,CHI,Chicago,Sky,0,0,200,34,68,50,12,28,42.9,22,40,55,1,9,16,56.3,9,22,31,22,13,8,3,1.69,21,0,0,89,16,13,0,12,6,0,1,0,0,30,2,58.8,12,22,15,68.2,75.04,59.3,14,18,2,94,69.2,106.201171875,112.6012145749,0,87,79.04,81.92,2,4,1920,1.1,1.13,0,37,21,8,5,62.5,7,7,100,8,30,24,NULL,54,NULL,13,NULL,NULL,0,NULL
2023,reg,"2023-07-02 22:00:00","2023-07-02 17:00:00",164440,1786,1797,SEA,Seattle,Storm,1,1,200,23,65,35.4,9,25,36,14,40,35,7,11,14,78.6,8,25,33,16,19,5,4,0.84,15,0,0,66,7,13,1,12,7,0,0,1,0,28,-15,42.3,15,30,14,46.7,71.16,46.4,0,20,1,58,35.6,100.59612518629,79.365079365079,0,81,83.16,80.52,2,5,0,0.97,0.79,1,40,16,8,4,50,5,3,60,9,57,66,NULL,43,NULL,19,NULL,NULL,1,NULL
2023,reg,"2023-07-02 22:00:00","2023-07-02 17:00:00",164440,1797,1786,NYL,"New York",Liberty,0,0,200,33,71,46.5,8,25,32,25,46,54.3,4,7,8,87.5,8,29,37,30,14,16,7,2.14,20,0,0,81,19,6,0,19,7,0,0,0,0,42,15,52.1,12,35,21,60,74.52,54.3,22,15,3,109,78.3,79.365079365079,100.59612518629,0,66,80.52,83.16,3,4,2394,0.82,1.01,0,44,20,9,2,22.2,17,9,52.9,9,42,24,NULL,48,NULL,23,NULL,NULL,0,NULL
2023,reg,"2023-07-05 23:00:00","2023-07-05 18:00:00",164441,1792,1786,NYL,"New York",Liberty,1,1,200,32,65,49.2,11,25,44,21,40,52.5,5,24,28,85.7,6,24,30,27,15,6,3,1.8,20,1,0,99,14,12,2,22,13,2,0,0,0,32,4,57.7,10,28,16,57.1,77.32,64,20,25,3,113,80.1,107.12674785747,112.09239130435,0,95,88.32,88.68,6,7,2190,1.08,1.12,0,43,20,8,3,37.5,10,6,60,12,67,49,NULL,45,NULL,20,NULL,NULL,1,NULL
2023,reg,"2023-07-05 23:00:00","2023-07-05 18:00:00",164441,1786,1792,PHO,Phoenix,Mercury,0,0,200,34,67,50.7,9,20,45,25,47,53.2,3,18,22,81.8,3,22,25,23,15,7,5,1.53,25,0,1,95,13,2,0,20,6,0,0,1,1,42,-4,57.5,21,38,21,55.3,76.68,61.9,3,20,2,95,70.4,112.09239130435,107.12674785747,0,99,88.68,88.32,2,4,32,1.12,1.07,2,31,27,2,1,50,7,5,71.4,12,23,26,NULL,42,NULL,21,NULL,NULL,1,NULL
2023,reg,"2023-07-06 00:00:00","2023-07-05 19:00:00",164442,1791,1796,MIN,Minnesota,Lynx,1,1,200,27,58,46.6,7,20,35,20,38,52.6,4,29,34,85.3,8,18,26,20,18,5,2,1.11,16,0,0,90,3,10,0,18,10,0,0,2,0,30,7,52.6,14,29,15,51.7,72.96,61.7,12,25,3,94,65.2,99.8075998076,108.48601735776,0,83,82.96,83.16,6,4,2007,1,1.08,2,36,18,7,3,42.9,1,1,100,7,82,70,NULL,43,NULL,14,NULL,NULL,1,NULL
2023,reg,"2023-07-06 00:00:00","2023-07-05 19:00:00",164442,1796,1791,IND,Indiana,Fever,0,0,200,33,70,47.1,4,16,25,29,54,53.7,2,13,14,92.9,10,20,30,15,16,10,4,0.94,25,0,0,83,6,16,1,21,8,0,1,1,0,46,-7,50,20,42,23,54.8,76.16,54.5,2,16,1,76,57.1,108.48601735776,99.8075998076,0,90,83.16,82.96,4,4,143,1.08,1,1,38,26,10,6,60,5,3,60,6,8,6,NULL,35,NULL,32,NULL,NULL,0,NULL
2023,reg,"2023-07-06 02:00:00","2023-07-05 21:00:00",164443,1795,1794,LVA,"Las Vegas",Aces,1,1,200,30,65,46.2,9,20,45,21,45,46.7,1,20,24,83.3,7,32,39,17,13,1,4,1.31,12,0,0,89,8,7,0,9,9,0,0,1,1,34,7,53.1,2,35,17,48.6,75.56,58.9,7,19,2,104,66.3,98.463016330451,109.12211868563,0,82,81.56,83.28,3,6,393,1.01,1.09,2,48,14,5,1,20,6,4,66.7,13,55,55,NULL,44,NULL,20,NULL,NULL,1,NULL
2023,reg,"2023-07-06 02:00:00","2023-07-05 21:00:00",164443,1794,1795,DAL,Dallas,Wings,0,0,200,33,82,40.2,6,24,25,27,58,46.6,4,10,12,83.3,13,26,39,18,8,8,1,2.25,19,0,0,82,16,11,1,19,3,0,0,0,0,44,-7,43.9,4,47,22,46.8,87.28,47,14,12,3,78,59.6,109.12211868563,98.463016330451,0,89,83.28,81.56,0,3,1892,1.07,0.98,0,42,19,13,5,38.5,8,7,87.5,11,26,12,NULL,50,NULL,28,NULL,NULL,1,NULL
2023,reg,"2023-07-06 02:00:00","2023-07-05 21:00:00",164444,1789,1793,LAS,"Los Angeles",Sparks,1,1,200,29,68,42.6,6,22,27.3,23,46,50,5,15,22,68.2,4,29,33,20,11,3,5,1.82,20,0,0,79,2,12,1,15,9,0,0,0,0,36,-11,47.1,34,37,18,48.6,77.68,50.8,2,19,1,77,53.2,105.73308270677,92.203548085901,0,90,85.68,85.12,3,6,12,1.05,0.92,0,42,20,3,3,100,2,1,50,8,69,81,NULL,48,NULL,17,NULL,NULL,1,NULL
2023,reg,"2023-07-06 02:00:00","2023-07-05 21:00:00",164444,1793,1789,ATL,Atlanta,Dream,0,0,200,33,67,49.3,10,24,41.7,23,43,53.5,5,14,23,60.9,3,36,39,30,8,6,5,3.75,19,0,0,90,11,4,3,15,8,0,0,0,0,42,11,56.7,22,37,21,56.8,77.12,58.4,21,20,1,115,80.5,92.203548085901,105.73308270677,0,79,85.12,85.68,0,8,2338,0.93,1.06,0,47,19,4,0,0,5,5,100,13,69,51,NULL,49,NULL,17,NULL,NULL,1,NULL
2023,reg,"2023-07-06 23:00:00","2023-07-06 18:00:00",164445,1797,1790,CON,Connecticut,Sun,1,1,200,34,63,54,9,13,69.2,25,50,50,3,16,17,94.1,6,24,30,24,17,10,7,1.41,18,0,0,93,19,6,0,25,6,0,0,1,0,40,20,61.1,19,38,20,52.6,70.48,66,37,16,2,112,81,82.50452079566,114.13843888071,0,73,81.48,88.48,4,2,2365,0.9,1.14,1,36,19,5,1,20,11,8,72.7,19,24,4,NULL,30,NULL,32,NULL,NULL,1,NULL
2023,reg,"2023-07-06 23:00:00","2023-07-06 18:00:00",164445,1790,1797,SEA,Seattle,Storm,0,0,200,26,67,38.8,8,24,33.3,18,43,41.9,7,13,17,76.5,9,22,31,17,20,8,3,0.85,16,0,0,73,13,16,3,15,8,0,0,1,1,36,-20,44.8,21,40,18,45,74.48,49,0,18,3,62,43.4,114.13843888071,82.50452079566,0,93,88.48,81.48,0,8,0,1.05,0.83,2,39,18,12,6,50,9,5,55.6,9,31,57,NULL,37,NULL,29,NULL,NULL,1,NULL
2023,reg,"2023-07-07 23:00:00","2023-07-07 18:00:00",164446,1791,1788,WAS,Washington,Mystics,1,1,200,29,63,46,7,21,33.3,22,42,52.4,2,31,37,83.8,10,21,31,14,7,6,0,2,20,0,0,96,4,20,1,19,10,0,0,1,0,30,8,51.6,16,33,15,45.5,79.28,60.5,17,29,1,107,75.2,115.24358302776,124.22360248447,0,88,77.28,76.36,5,5,2290,1.14,1.24,1,41,21,9,8,88.9,3,2,66.7,8,10,4,NULL,43,NULL,20,NULL,NULL,1,NULL
2023,reg,"2023-07-07 23:00:00","2023-07-07 18:00:00",164446,1788,1791,IND,Indiana,Fever,0,0,200,33,60,55,9,18,50,24,42,57.1,0,13,19,68.4,5,23,28,24,13,3,2,1.85,29,0,1,88,4,6,0,3,4,1,0,0,0,44,-8,62.5,12,32,22,68.8,68.36,64.4,2,20,3,90,63.8,124.22360248447,115.24358302776,0,96,76.36,77.28,2,2,46,1.26,1.15,0,32,29,5,3,60,3,2,66.7,7,36,44,NULL,39,NULL,20,NULL,NULL,1,NULL
2023,reg,"2023-07-08 00:00:00","2023-07-07 19:00:00",164447,1789,1787,CHI,Chicago,Sky,1,1,200,25,68,36.8,7,24,29.2,18,44,40.9,7,11,15,73.3,6,25,31,18,12,9,2,1.5,15,0,0,68,14,6,2,16,9,0,1,0,0,32,-14,41.9,15,31,16,51.6,74.6,45.6,5,16,0,62,45.5,99.129593810445,81.33971291866,0,82,83.6,82.72,1,8,123,0.98,0.81,0,40,15,5,2,40,11,6,54.5,12,34,34,NULL,44,NULL,21,NULL,NULL,1,NULL
2023,reg,"2023-07-08 00:00:00","2023-07-07 19:00:00",164447,1787,1789,ATL,Atlanta,Dream,0,0,200,33,69,47.8,6,17,35.3,27,52,51.9,2,10,13,76.9,10,32,42,17,16,9,7,1.06,16,0,0,82,12,12,2,18,4,0,0,0,0,44,14,52.2,12,42,22,52.4,74.72,54.9,15,15,2,99,65.7,81.33971291866,99.129593810445,0,68,82.72,83.6,1,3,2102,0.82,0.99,0,46,16,10,6,60,10,6,60,15,72,58,NULL,33,NULL,36,NULL,NULL,1,NULL
2023,reg,"2023-07-08 00:00:00","2023-07-07 19:00:00",164448,1792,1796,MIN,Minnesota,Lynx,1,1,200,28,65,43.1,7,19,36.8,21,46,45.7,3,12,15,80,10,28,38,20,15,12,4,1.33,15,0,0,75,11,8,0,19,4,0,0,0,0,34,11,48.5,29,36,17,47.2,71.6,52.4,24,18,2,94,62.7,78.85657959586,97.911227154047,0,64,76.6,81.16,1,3,2278,0.84,0.98,0,42,15,9,3,33.3,6,3,50,14,14,4,NULL,45,NULL,19,NULL,NULL,1,NULL
2023,reg,"2023-07-08 00:00:00","2023-07-07 19:00:00",164448,1796,1792,PHO,Phoenix,Mercury,0,0,200,23,61,37.7,6,20,30,17,41,41.5,4,12,14,85.7,5,25,30,17,19,5,3,0.89,18,0,0,64,7,11,0,10,8,0,0,0,0,30,-11,42.6,15,34,15,44.1,67.16,47.6,4,15,1,53,33.5,97.911227154047,78.85657959586,0,75,81.16,76.6,2,6,84,0.92,0.79,0,38,18,6,4,66.7,5,3,60,8,42,54,NULL,33,NULL,25,NULL,NULL,1,NULL
2023,reg,"2023-07-08 00:00:00","2023-07-07 19:00:00",164449,1794,1795,DAL,Dallas,Wings,1,1,200,32,68,47.1,3,14,21.4,29,54,53.7,4,13,18,72.2,10,26,36,21,16,13,4,1.31,16,0,0,80,14,16,1,17,9,0,0,0,0,46,2,49.3,5,40,23,57.5,75.92,52.7,7,14,1,91,66.1,96.918489065606,96.47853352629,0,78,82.92,80.48,2,7,699,0.94,0.96,0,45,16,10,5,50,11,7,63.6,8,73,71,NULL,38,NULL,30,NULL,NULL,1,NULL
2023,reg,"2023-07-08 00:00:00","2023-07-07 19:00:00",164449,1795,1794,LVA,"Las Vegas",Aces,0,0,200,27,60,45,10,26,38.5,17,34,50,4,14,17,82.4,5,20,25,14,17,7,4,0.82,14,0,0,78,13,7,1,22,7,0,0,0,0,22,-2,53.3,0,24,11,45.8,67.48,57.8,11,16,2,73,52.1,96.47853352629,96.918489065606,0,80,80.48,82.92,4,3,1323,0.99,0.97,0,32,14,6,3,50,6,5,83.3,10,57,47,NULL,42,NULL,17,NULL,NULL,0,NULL
2023,reg,"2023-07-08 18:00:00","2023-07-08 13:00:00",164450,1797,1786,NYL,"New York",Liberty,1,1,200,27,66,40.9,13,30,43.3,14,36,38.9,6,13,15,86.7,4,26,30,23,13,5,2,1.77,15,0,0,80,10,4,0,18,5,0,1,1,0,26,4,50.8,10,29,13,44.8,72.6,55.1,10,17,3,81,57.9,90.304182509506,98.039215686275,0,76,81.6,84.16,2,3,1568,0.93,0.98,1,35,16,4,1,25,7,4,57.1,10,60,52,NULL,43,NULL,22,NULL,NULL,1,NULL
2023,reg,"2023-07-08 18:00:00","2023-07-08 13:00:00",164450,1786,1797,SEA,Seattle,Storm,0,0,200,29,75,38.7,6,32,18.8,23,43,53.5,2,12,14,85.7,15,33,48,19,15,7,6,1.27,17,0,0,76,11,17,3,15,6,0,0,0,0,34,-4,42.7,29,32,17,53.1,81.16,46.8,7,15,1,89,57.4,98.039215686275,90.304182509506,0,80,84.16,81.6,1,5,400,0.95,0.9,0,54,17,16,8,50,6,5,83.3,8,24,22,NULL,52,NULL,23,NULL,NULL,1,NULL
2023,reg,"2023-07-09 19:00:00","2023-07-09 14:00:00",164451,1788,1790,CON,Connecticut,Sun,1,1,200,33,65,50.8,13,25,52,20,40,50,4,13,21,61.9,4,20,24,18,11,6,1,1.64,17,0,0,92,4,9,1,17,11,0,0,1,0,24,8,60.8,19,26,12,46.2,74.24,62,11,21,0,90,66.8,104.21836228288,111.86770428016,0,84,82.24,80.6,2,9,1590,1.02,1.12,1,35,18,6,3,50,5,2,40,7,7,0,NULL,46,NULL,18,NULL,NULL,1,NULL
2023,reg,"2023-07-09 19:00:00","2023-07-09 14:00:00",164451,1790,1788,WAS,Washington,Mystics,0,0,200,33,61,54.1,7,17,41.2,26,44,59.1,1,11,15,73.3,5,26,31,24,17,8,4,1.41,21,0,0,84,12,12,1,15,6,0,0,1,0,46,-8,59.8,29,29,23,79.3,67.6,62.1,6,17,4,97,66.4,111.86770428016,104.21836228288,0,92,80.6,82.24,1,5,530,1.14,1.04,1,37,22,6,5,83.3,7,6,85.7,7,30,24,NULL,40,NULL,21,NULL,NULL,0,NULL
2023,reg,"2023-07-09 20:00:00","2023-07-09 15:00:00",164452,1795,1791,IND,Indiana,Fever,1,1,200,30,67,44.8,3,14,21.4,27,53,50.9,4,13,17,76.5,11,24,35,18,17,5,2,1.06,21,0,0,76,10,15,1,18,8,0,0,0,0,36,-1,47,13,35,18,51.4,74.48,51,8,18,2,71,48,98.164201937787,93.27442317133,0,77,81.48,78.44,3,5,822,0.95,0.93,0,43,21,11,6,54.5,9,5,55.6,12,31,32,NULL,40,NULL,27,NULL,NULL,1,NULL
2023,reg,"2023-07-09 20:00:00","2023-07-09 15:00:00",164452,1791,1795,DAL,Dallas,Wings,0,0,200,27,62,43.5,2,13,15.4,25,49,51,2,21,26,80.8,9,24,33,18,13,9,4,1.38,18,0,1,77,19,4,1,16,5,0,0,0,0,34,1,45.2,8,28,17,60.7,73.44,52.4,13,21,3,89,60.1,93.27442317133,98.164201937787,0,76,78.44,81.48,1,4,1313,0.97,0.98,0,38,18,6,2,33.3,9,8,88.9,10,75,68,NULL,39,NULL,22,NULL,NULL,1,NULL
2023,reg,"2023-07-09 22:00:00","2023-07-09 17:00:00",164453,1793,1792,PHO,Phoenix,Mercury,1,1,200,30,63,47.6,5,17,29.4,25,46,54.3,2,13,15,86.7,10,27,37,22,17,7,6,1.29,19,0,0,78,2,9,1,9,6,0,0,0,0,40,6,51.6,12,34,20,58.8,69.6,56,13,19,4,96,62.2,88.713652045343,100.51546391753,0,72,77.6,81.16,3,3,1966,0.93,1.01,0,43,19,6,3,50,4,1,25,9,17,10,NULL,39,1,20,NULL,NULL,1,NULL
2023,reg,"2023-07-09 22:00:00","2023-07-09 17:00:00",164453,1792,1793,LAS,"Los Angeles",Sparks,0,0,200,26,70,37.1,8,21,38.1,18,49,36.7,6,12,14,85.7,8,22,30,15,11,9,2,1.36,19,0,1,72,2,9,2,21,8,0,0,0,0,28,-6,42.9,13,33,14,42.4,76.16,47.3,3,19,1,65,47.1,100.51546391753,88.713652045343,0,78,81.16,77.6,0,8,84,0.96,0.89,0,38,19,11,4,36.4,5,1,20,8,10,8,NULL,42,NULL,27,NULL,NULL,1,NULL
2023,reg,"2023-07-09 23:00:00","2023-07-09 18:00:00",164454,1794,1796,MIN,Minnesota,Lynx,1,1,200,36,72,50,9,16,56.3,27,56,48.2,11,8,15,53.3,5,21,26,24,13,6,2,1.85,14,0,0,89,11,13,1,23,11,0,0,0,0,42,-24,56.3,31,41,21,51.2,78.6,56.6,3,11,0,77,65.6,135.88263588264,101.59817351598,0,113,87.6,83.16,0,11,65,1.29,1.02,0,37,14,7,5,71.4,7,5,71.4,6,50,60,NULL,38,NULL,33,NULL,NULL,1,NULL
2023,reg,"2023-07-09 23:00:00","2023-07-09 18:00:00",164454,1796,1794,LVA,"Las Vegas",Aces,0,0,200,43,72,59.7,17,39,43.6,26,33,78.8,2,10,14,71.4,7,27,34,31,11,9,11,2.82,11,0,0,113,18,18,1,20,5,0,0,0,0,40,24,71.5,23,24,20,83.3,78.16,72.3,26,14,0,155,114.2,101.59817351598,135.88263588264,0,89,83.16,87.6,0,5,2299,1.07,1.36,0,39,11,9,7,77.8,11,7,63.6,10,70,50,NULL,54,NULL,18,NULL,NULL,1,NULL
2023,reg,"2023-07-10 00:00:00","2023-07-09 19:00:00",164455,1789,1787,CHI,Chicago,Sky,1,1,200,30,73,41.1,6,22,27.3,24,51,47.1,5,11,16,68.8,8,22,30,20,10,2,6,2,16,0,0,77,11,15,0,15,11,0,0,0,0,32,-11,45.2,10,31,16,51.6,80.04,48.1,3,17,0,73,51.9,109.18114143921,93.856655290102,0,88,82.04,80.6,3,8,273,1.07,0.94,0,41,16,13,7,53.8,7,4,57.1,7,59,57,NULL,50,NULL,21,NULL,NULL,1,NULL
2023,reg,"2023-07-10 00:00:00","2023-07-09 19:00:00",164455,1787,1789,ATL,Atlanta,Dream,0,0,200,35,75,46.7,6,16,37.5,29,59,49.2,6,12,15,80,13,29,42,24,10,8,5,2.4,17,0,0,88,11,18,2,13,8,1,0,0,0,44,11,50.7,8,44,22,50,81.6,53.9,12,16,1,107,77.6,93.856655290102,109.18114143921,0,77,80.6,82.04,3,5,2003,0.96,1.09,0,50,17,13,8,61.5,7,5,71.4,7,33,24,NULL,43,NULL,31,NULL,NULL,1,NULL
2023,reg,"2023-07-11 23:00:00","2023-07-11 18:00:00",164456,1797,1788,WAS,Washington,Mystics,1,1,200,36,67,53.7,9,24,37.5,27,43,62.8,2,12,16,75,6,25,31,19,12,8,2,1.58,13,0,0,93,10,11,2,20,6,0,1,0,0,32,7,60.4,34,25,16,64,74.04,62.8,25,16,0,106,76.1,105.54737358861,113.35933690883,0,86,82.04,81.48,1,5,1892,1.05,1.13,0,37,13,6,4,66.7,5,5,100,9,26,20,NULL,45,NULL,22,NULL,NULL,1,NULL
2023,reg,"2023-07-11 23:00:00","2023-07-11 18:00:00",164456,1788,1797,SEA,Seattle,Storm,0,0,200,30,67,44.8,12,30,40,18,37,48.6,2,14,17,82.4,8,23,31,18,15,9,2,1.2,16,0,0,86,10,7,0,16,7,0,0,0,0,32,-7,53.7,15,29,16,55.2,74.48,57.7,6,13,1,86,64,113.35933690883,105.54737358861,0,93,81.48,82.04,1,6,362,1.14,1.06,0,38,16,7,3,42.9,8,4,50,11,78,84,NULL,41,NULL,26,NULL,NULL,1,NULL
2023,reg,"2023-07-12 02:00:00","2023-07-11 21:00:00",164457,1792,1794,LVA,"Las Vegas",Aces,1,1,200,36,72,50,9,25,36,27,47,57.4,2,17,22,77.3,3,32,35,24,3,3,3,8,15,0,0,98,7,7,1,14,8,0,0,0,0,50,26,56.3,10,43,25,58.1,81.68,60,36,19,0,121,84.6,92.118730808598,118.52926947267,0,72,82.68,78.16,1,7,2098,0.87,1.19,0,43,15,5,3,60,3,3,100,15,47,27,NULL,47,NULL,24,NULL,NULL,1,NULL
2023,reg,"2023-07-12 02:00:00","2023-07-11 21:00:00",164457,1794,1792,PHO,Phoenix,Mercury,0,0,200,27,70,38.6,6,19,31.6,21,51,41.2,3,12,14,85.7,8,30,38,15,9,3,2,1.67,19,0,0,72,1,12,1,9,5,2,1,0,0,32,-26,42.9,35,37,16,43.2,76.16,47.3,3,15,0,68,45.9,118.52926947267,92.118730808598,0,98,78.16,82.68,1,4,120,1.25,0.92,0,43,19,7,4,57.1,3,0,0,9,72,96,NULL,50,NULL,20,NULL,NULL,1,NULL
